original,pred_open,pred_high,pred_low
57.549999,243.74,250.9,248.67
56.849998,252.63,246.52,248.8
56.049999,245.6,242.1,243.09
57.700001,243.63,244.08,237.79
59.799999,243.95,246.2,247.82
59.849998,252.62,260.95,255.12
59.0,258.19,261.45,258.28
57.549999,257.5,260.26,259.8
57.549999,259.19,269.49,259.98
59.700001,270.66,277.19,272.9
63.349998,274.68,275.62,270.3
62.25,268.67,295.67,272.06
65.050003,283.31,291.77,285.3
63.599998,281.0,285.2,282.76
64.400002,283.31,276.8,270.3
62.450001,262.57,261.06,257.61
62.0,257.12,261.4,259.74
61.799999,270.04,262.0,262.29
61.549999,266.9,266.52,267.7
61.599998,269.0,271.67,267.04
62.0,268.36,261.4,260.78
60.349998,267.77,259.94,251.46
59.900002,252.3,247.43,247.62
58.799999,252.63,252.18,252.08
59.900002,252.96,250.54,248.67
59.549999,257.4,264.85,257.32
61.099998,256.92,258.25,257.9
61.900002,257.21,256.15,248.67
64.300003,243.63,243.16,245.14
64.199997,251.76,245.15,247.99
65.199997,249.2,247.2,250.99
67.699997,243.63,239.6,239.6
68.449997,241.29,239.2,238.05
75.150002,238.85,239.13,239.87
85.5,236.8,234.56,240.55
91.099998,236.42,234.18,239.73
87.449997,236.88,238.05,239.59
96.050003,238.87,245.98,242.65
97.300003,246.72,242.1,243.48
97.400002,242.28,242.16,241.64
95.099998,236.98,239.31,242.22
94.050003,236.8,234.96,241.21
99.949997,237.31,232.4,231.45
109.550003,230.0,226.21,231.53
106.0,230.55,224.97,225.7
102.25,230.3,230.95,231.54
95.849998,230.26,224.2,224.91
92.550003,221.7,218.36,211.01
99.550003,218.32,210.07,211.61
96.300003,210.59,215.84,210.7
102.199997,210.78,207.86,202.54
100.150002,200.2,206.04,203.37
94.5,208.06,207.86,212.7
92.199997,211.29,207.5,209.86
94.199997,210.78,209.09,210.7
92.550003,210.3,207.44,210.49
92.75,210.82,215.84,218.81
95.699997,218.57,214.42,219.07
95.949997,222.44,229.6,226.46
98.550003,233.97,227.31,230.3
97.199997,230.0,231.57,231.49
93.800003,236.74,240.46,238.05
94.75,236.8,237.0,239.41
94.050003,238.67,232.4,237.01
94.300003,237.65,239.42,240.02
93.050003,235.15,230.3,231.82
90.449997,239.29,239.75,239.83
93.400002,236.98,251.1,242.22
92.900002,249.2,251.1,251.3
93.099998,254.3,249.4,251.72
91.400002,250.36,247.07,247.24
88.400002,255.42,261.4,257.96
90.349998,262.8,265.34,259.85
90.25,263.8,261.4,258.28
89.199997,258.84,258.67,259.95
90.300003,262.8,262.48,264.31
91.050003,267.77,270.3,268.41
89.199997,269.84,267.97,265.25
98.099998,262.8,260.09,261.98
99.800003,265.19,260.6,262.29
98.150002,267.5,271.99,269.16
94.099998,273.55,272.8,268.48
101.400002,262.55,270.3,263.82
97.25,273.08,269.0,268.41
96.949997,270.23,262.98,264.69
94.949997,259.67,253.83,259.99
96.550003,256.83,259.45,258.8
97.0,257.78,254.61,260.0
95.150002,263.8,267.97,267.7
95.199997,269.28,267.97,268.54
94.150002,270.54,266.52,267.4
95.800003,269.63,266.52,265.11
94.5,271.62,272.8,273.16
96.949997,273.4,275.7,276.74
98.099998,283.31,281.31,285.86
98.400002,281.0,289.1,286.4
110.900002,285.4,285.2,282.38
113.099998,278.0,275.7,270.3
108.650002,273.51,275.63,264.18
107.800003,270.49,268.77,264.97
108.050003,271.43,286.23,273.16
106.449997,282.51,306.1,282.11
112.949997,304.1,305.6,305.6
120.849998,299.06,300.47,298.6
126.099998,282.5,285.2,290.09
125.349998,275.6,275.71,231.4
118.900002,239.29,247.35,221.2
131.350006,230.7,241.87,225.5
131.449997,231.26,254.4,235.07
126.5,261.43,278.87,261.82
128.300003,270.25,268.34,264.56
126.949997,257.16,260.93,258.02
126.599998,260.37,255.41,246.53
133.949997,242.07,248.1,238.31
127.849998,236.8,232.45,225.84
129.350006,230.17,234.0,216.27
126.949997,211.57,224.7,214.18
124.400002,230.17,235.24,231.53
121.300003,230.0,235.24,230.32
122.099998,236.8,245.15,236.1
122.199997,243.63,239.13,238.8
125.449997,236.4,238.61,237.79
126.0,236.15,237.38,235.07
124.050003,236.81,239.26,240.98
120.300003,236.26,240.46,242.9
124.150002,242.31,247.16,235.75
134.850006,236.8,239.42,240.01
138.600006,238.02,241.98,245.14
137.75,242.28,242.16,239.73
142.0,234.08,236.61,232.45
146.399994,242.32,239.15,231.6
155.25,243.63,242.26,244.61
165.25,243.33,242.29,247.89
172.199997,244.17,246.9,247.82
166.649994,252.82,254.4,243.95
165.949997,257.05,250.33,247.8
164.199997,270.32,291.9,268.02
166.550003,299.63,287.12,282.0
179.699997,279.04,286.31,276.78
179.350006,285.94,286.34,286.4
173.25,303.7,309.49,303.7
199.949997,301.5,306.1,303.86
194.800003,300.38,303.0,300.92
191.300003,305.17,301.53,296.8
189.449997,299.63,308.6,298.64
179.300003,305.41,305.2,305.2
190.550003,300.3,300.3,300.3
194.600006,300.38,298.57,295.84
193.5,292.61,292.56,290.9
187.5,282.5,286.37,281.94
184.699997,282.67,281.44,282.63
178.75,281.93,276.7,276.5
182.800003,275.6,278.25,276.9
182.449997,275.6,277.86,275.95
180.699997,275.23,273.04,274.71
179.350006,273.82,273.33,267.7
184.550003,266.7,268.15,269.56
199.449997,271.7,278.87,272.51
215.649994,274.68,278.84,282.4
210.5,281.93,296.3,287.75
227.600006,301.91,298.0,295.79
224.800003,299.95,296.92,294.94
207.0,293.42,296.92,298.27
196.0,296.88,303.0,298.57
217.399994,298.79,301.0,298.37
198.550003,299.63,302.64,303.1
191.050003,305.62,309.4,305.63
203.350006,322.0,321.8,322.77
205.050003,311.6,322.7,322.9
207.399994,322.2,322.0,321.67
204.899994,317.3,320.78,318.37
208.949997,315.53,324.14,318.8
211.5,314.79,329.2,323.8
206.649994,336.4,342.39,336.6
210.300003,340.66,334.72,319.2
202.949997,306.49,314.0,283.23
199.600006,298.32,295.8,299.77
199.800003,299.56,306.13,297.98
201.649994,301.97,310.5,305.36
196.550003,300.45,302.61,300.37
200.100006,300.8,301.83,298.1
203.149994,299.0,298.57,298.11
206.75,298.56,301.83,300.07
208.550003,303.94,301.75,301.11
204.850006,299.06,299.85,300.31
204.699997,299.34,296.43,298.9
202.800003,299.2,300.19,300.31
203.199997,302.43,295.32,300.29
203.149994,298.7,294.8,296.69
208.100006,298.7,294.8,296.7
207.449997,299.63,282.47,296.7
206.699997,301.5,302.4,300.41
208.149994,301.17,299.18,299.26
207.050003,299.72,296.69,297.97
205.100006,294.58,287.63,290.65
203.75,298.65,298.47,299.93
206.399994,292.63,290.6,293.55
204.449997,286.65,286.45,290.99
206.25,284.55,286.89,281.78
205.25,281.93,284.37,276.84
205.100006,275.7,277.11,262.45
206.199997,262.57,260.73,252.81
216.399994,252.3,251.02,256.5
